Question,Answers,Comment,Instructions,Render as
言う,いう,"1. to say; to utter; to declare, 2. to name; to call",Type the reading!,Image
家,いえ,house; residence; dwelling,Type the reading!,Image
行く,いく,to go; to move (towards); to head (towards); to leave (for)​,Type the reading!,Image
池,いけ,pond,Type the reading!,Image
医者,いしゃ,doctor; physician,Type the reading!,Image
椅子,いす,chair; seat; stool; bench,Type the reading!,Image
忙しい,いそがしい,"1. busy; occupied; hectic​, 2. restless; hurried; fidgety",Type the reading!,Image
痛い,いたい,painful; sore,Type the reading!,Image
一,いち,one,Type the reading!,Image
二,に,two,Type the reading!,Image
三,さん,three,Type the reading!,Image
零,"れい,ゼロ",zero; nought,Type the reading!,Image
四,"よん,し",four,Type the reading!,Image
五,ご,five,Type the reading!,Image
六,ろく,six,Type the reading!,Image
七,"なな,しち",seven,Type the reading!,Image
八,はち,eight,Type the reading!,Image
九,"きゅう,く",nine,Type the reading!,Image
十,"じゅう, と",ten,Type the reading!,Image
百,ひゃく,hundred,Type the reading!,Image
三百,さんびゃく,three hundred,Type the reading!,Image
六百,ろっぴゃく,six hundred,Type the reading!,Image
八百,はっぴゃく,eight hundred,Type the reading!,Image
千,せん,thousand,Type the reading!,Image
三千,さんぜん,three thousand,Type the reading!,Image
八千,はっせん,six thousand,Type the reading!,Image
万,まん,ten thousand,Type the reading!,Image
百万,ひゃくまん,one million,Type the reading!,Image
億,おく,hundred million,Type the reading!,Image
一番,いちばん,"1. number one; first; first place, 2. best; most",Type the reading!,Image
何時も,いつも,(​Usually written using kana) always; all the time; at all times,Type the reading!,Image
犬,いぬ,dog (Canis (lupus) familiaris),Type the reading!,Image
今,いま,now; the present time; just now; soon; immediately今,Type the reading!,Image
意味,いみ,meaning; significance; sense,Type the reading!,Image
妹,いもうと,younger sister,Type the reading!,Image
嫌,いや,"disliking; not wanting; unwilling (to do); reluctant, unpleasant; disagreeable; nasty; horrible; disgusting; undesirable; unwelcome",Type the reading!,Image
入口,いりぐち,entrance; entry; gate; approach; mouth,Type the reading!,Image
入れる,いれる,"1. to put in; to let in; to take in; to bring in; to insert; to install (e.g. software); to set (a jewel, etc.); to ink in (e.g. tattoo), 2. to admit; to accept; to employ; to hire",Type the reading!,Image
色,いろ,colour; color; hue; tint; tinge; shade,Type the reading!,Image
色々,いろいろ,various; a variety of; all sorts of; many (different)​; variously; in various ways; in many ways,Type the reading!,Image
上,うえ,"1. above; over; up, 2. top; summit; upper part; head (e.g. of a staircase),3. surface; on (top of)",Type the reading!,Image
後ろ,うしろ,back; behind; rear,Type the reading!,Image
薄い,うすい,thin (of an object),Type the reading!,Image
歌,うた,song; singing,Type the reading!,Image
歌う,うたう,to sing,Type the reading!,Image
生まれる,うまれる,to be born,Type the reading!,Image
海,うみ,sea; ocean; waters,Type the reading!,Image
売る,うる,to sell,Type the reading!,Image
絵,え,picture; drawing; painting; sketch,Type the reading!,Image
映画,えいが,movie; film; motion picture,Type the reading!,Image
映画館,えいがかん,movie theatre; movie theater; cinema,Type the reading!,Image
英語,えいご,English language​,Type the reading!,Image
駅,えき,railway station; train station,Type the reading!,Image
鉛筆,えんぴつ,pencil,Type the reading!,Image
美味しい,おいしい,(​Usually written using kana) good(-tasting); nice; delicious; tasty​,Type the reading!,Image
多い,おおい,"1. many; numerous; a lot​, 2. large amount of; large quantity of; a lot; much",Type the reading!,Image
大きい,おおきい,big; large; great,Type the reading!,Image
大きな,おおきな,big; large; great,Type the reading!,Image
大勢,おおぜい,crowd of people; great number of people,Type the reading!,Image
お母さん,おかあさん,mother; mom; mum; ma​,Type the reading!,Image
お菓子,おかし,confections; sweets; candy; cake​,Type the reading!,Image
お金,おかね,money,Type the reading!,Image
起きる,おきる,"1. to get up; to rise; to blaze up (fire), 2. to wake up; to be awake; to stay awake",Type the reading!,Image
奥さん,おくさん,wife; your wife; his wife; married lady; madam,Type the reading!,Image
お酒,おさけ,alcohol; sake​,Type the reading!,Image
お皿,おさら,plate; dish,Type the reading!,Image
教える,おしえる,to teach; to instruct,Type the reading!,Image
押す,おす,to push; to thrust; to shove奥さん,Type the reading!,Image
遅い,おそい,slow; late,Type the reading!,Image
お茶,おちゃ,tea (esp. green or barley)​,Type the reading!,Image
お手洗い,おてあらい,toilet; restroom; lavatory; bathroom,Type the reading!,Image
お父さん,おとうさん,father; dad; papa; pa; pop; daddy,Type the reading!,Image
弟,おとうと,younger brother; little brother; kid brother,Type the reading!,Image
男,おとこ,man; male,Type the reading!,Image
男の子,おとこのこ,"1. boy; son, 2. young man",Type the reading!,Image
一昨日,おととい,day before yesterday,Type the reading!,Image
一昨年,おととし,year before last,Type the reading!,Image
大人,おとな,adult; grown-up,Type the reading!,Image
お腹,おなか,belly; abdomen; stomach​,Type the reading!,Image
同じ,おなじ,same; identical; equal; alike; equivalent,Type the reading!,Image
お兄さん,おにいさん,older brother; elder brother,Type the reading!,Image
お姉さん,おねえさん,older sister; elder sister​,Type the reading!,Image
お祖母さん,おばあさん,(​Usually written using kana) grandmother​,Type the reading!,Image
お風呂,おふろ,bath,Type the reading!,Image
お弁当,おべんとう,bento; Japanese box lunch​,Type the reading!,Image
覚える,おぼえる,"1. to memorize; to memorise; to commit to memory; to learn by heart; to bear in mind; to remember, 2. to learn; to pick up; to acquire​",Type the reading!,Image
お巡りさん,おまわりさん,"(Familiar language, ​Usually written using kana) police officer​",Type the reading!,Image
重い,おもい,heavy; weighty​,Type the reading!,Image
面白い,おもしろい,"1. interesting; fascinating; intriguing; enthralling, 2. amusing; funny; comical, 3. enjoyable; fun; entertaining; pleasant; agreeable",Type the reading!,Image
泳ぐ,およぐ,to swim,Type the reading!,Image
降りる,おりる,to descend (e.g. a mountain); to go down; to come down,Type the reading!,Image
終わる,おわる,"1. to end; to come to an end; to finish; to close; to be over​, 2. to finish; to complete; to conclude",Type the reading!,Image
音楽,おんがく,music,Type the reading!,Image
女,おんあ,woman; female,Type the reading!,Image
女の子,おんなのこ,girl; daughter; young woman​,Type the reading!,Image
外国,がいこく,foreign country,Type the reading!,Image
外国人,がいこくじん,foreigner; foreign citizen; foreign national; alien; non-Japanese​,Type the reading!,Image
会社,かいしゃ,company; corporation; firm; workplace,Type the reading!,Image
階段,かいだん,stairs; stairway; staircase,Type the reading!,Image
買い物,かいもの,shopping; purchased goods,Type the reading!,Image
買う,かう,to buy; to purchase,Type the reading!,Image
返す,かえす,to return (something); to restore; to put back,Type the reading!,Image
帰る,かえる,to return; to come home; to go home; to go back,Type the reading!,Image
書く,かく,to write; to compose; to pen,Type the reading!,Image
学生,がくせい,student,Type the reading!,Image
傘,かさ,umbrella; parasol​,Type the reading!,Image
貸す,かす,to lend; to loan,Type the reading!,Image
風,かぜ,wind; breeze; draught; draft,Type the reading!,Image
風邪,かぜ,1. (common) cold; influenza; flu; ague; inflammatory respiratory system illness (in general),Type the reading!,Image
家族,かぞく,family,Type the reading!,Image
方,かた,direction; way; side; area (in a particular direction),Type the reading!,Image
学校,がっこう,school,Type the reading!,Image
家庭,かてい,home; household; family; hearth,Type the reading!,Image
角,かど,corner; edge,Type the reading!,Image
花瓶,かびん,(flower) vase,Type the reading!,Image
紙,かみ,paper,Type the reading!,Image
辛い,からい,spicy; hot,Type the reading!,Image
体,からだ,body,Type the reading!,Image
借りる,かりる,borrow,Type the reading!,Image
軽い,かるい,"light (i.e. not heavy); feeling light (i.e. offering little resistance, moving easily)​",Type the reading!,Image
可愛い,かわいい,(​Usually written using kana) cute; adorable; charming; lovely; pretty​,Type the reading!,Image
漢字,かんじ,"kanji, Chinese character",Type the reading!,Image
木,き,tree; shrub; bush,Type the reading!,Image
黄色,きいろ,"yellow, amber",Type the reading!,Image
消える,きえる,to disappear; to vanish; to go out of sight; to go away; to become lost,Type the reading!,Image
聞く,きく,to hear; to listen,Type the reading!,Image
北,きた,north,Type the reading!,Image
汚い,きたない,dirty; filthy; foul; unclean,Type the reading!,Image
喫茶店,きっさてん,coffee shop; tearoom; coffee lounge; coffeehouse; cafe,Type the reading!,Image
切手,きって,stamp (postage); merchandise certificate,Type the reading!,Image
切符,きっぷ,ticket,Type the reading!,Image
昨日,きのう,yesterday,Type the reading!,Image
牛肉,ぎゅうにく,beef,Type the reading!,Image
牛乳,ぎゅうにゅう,(cow's) milk,Type the reading!,Image
今日,きょう,today; this day,Type the reading!,Image
教室,きょうしつ,classroom; lecture room,Type the reading!,Image
兄弟,きょうだい,siblings; brothers and sisters​,Type the reading!,Image
去年,きょねん,last year,Type the reading!,Image
嫌い,きらい,disliked; hated; disagreeable,Type the reading!,Image
切る,きる,to cut; to cut through; to perform (surgery),Type the reading!,Image
着る,きる,to wear (from the shoulders down); to put on,Type the reading!,Image
銀行,ぎんこう,bank; banking institution,Type the reading!,Image
薬,くすり,medicine; pharmaceuticals; (legal) drugs; pill; ointment; salve,Type the reading!,Image
下さい,ください,(​Usually written using kana) 1. please (give me)​; 2. please (do for me),Type the reading!,Image
果物,くだもの,fruit,Type the reading!,Image
口,くち,mouth,Type the reading!,Image
靴,くつ,shoe; shoes; boots; footwear; footgear,Type the reading!,Image
靴下,くつした,socks; sock; stockings; stocking,Type the reading!,Image
国,くに,country; state; region,Type the reading!,Image
曇り,くもり,cloudiness; cloudy weather,Type the reading!,Image
曇る,くもる,to get cloudy; to cloud over; to become overcast,Type the reading!,Image
暗い,くらい,dark; gloomy; murky,Type the reading!,Image
来る,くる,to come (spatially or temporally); to approach; to arrive,Type the reading!,Image
車,くるま,car; automobile; vehicle,Type the reading!,Image
黒,くろ,black,Type the reading!,Image
黒い,くろい,1. black; 2. dark; blackish; sun-tanned (skin); 3. suspicious; criminal; illicit,Type the reading!,Image
警官,けいかん,police officer; policeman; constable​,Type the reading!,Image
今朝,けさ,this morning,Type the reading!,Image
消す,けす,to erase; to rub out; to rub off; to cross out; to delete,Type the reading!,Image
結構,けっこう,splendid; nice; wonderful; delightful; lovely; excellent; fine,Type the reading!,Image
結婚,けっこん,marriage,Type the reading!,Image
玄関,げんかん,entrance; front door; entryway; entranceway; entry hall; vestibule; porch; foyer; mud room,Type the reading!,Image
元気,げんき,lively; full of spirit; energetic; vigorous; vital; spirited,Type the reading!,Image
公園,こうえん,public park,Type the reading!,Image
紅茶,こうちゃ,black tea,Type the reading!,Image
交番,こうばん,police box; koban; small neighborhood police station,Type the reading!,Image
声,こえ,voice,Type the reading!,Image
午後,ごご,afternoon; p.m.,Type the reading!,Image
午前,ごぜん,morning; a.m.,Type the reading!,Image
答える,こたえる,to answer; to reply,Type the reading!,Image
今年,ことし,this year,Type the reading!,Image
言葉,ことば,language; dialect; word; phrase; expression; term,Type the reading!,Image
子供,こども,child,Type the reading!,Image
ご飯,ごはん,cooked rice,Type the reading!,Image
困る,こまる,to be troubled; to have difficulty; to be in a fix; to be at a loss; to be stumped; to be embarrassed,Type the reading!,Image
今月,こんげつ,this month,Type the reading!,Image
今週,こんしゅう,this week,Type the reading!,Image
今晩,こんばん,tonight; this evening,Type the reading!,Image
交差点,こうさてん,crossing; intersection,Type the reading!,Image
財布,さいふ,wallet; purse; coin purse; billfold; pocketbook,Type the reading!,Image
魚,さかな,fish,Type the reading!,Image
先,さき,point; tip; end; nozzle,Type the reading!,Image
咲く,さく,to bloom; to flower; to blossom; to open,Type the reading!,Image
作文,さくぶん,"writing (an essay, prose, etc.); composition​",Type the reading!,Image
差す,さす,to shine,Type the reading!,Image
雑誌,ざっし,magazine; journal; periodical,Type the reading!,Image
砂糖,さとう,sugar,Type the reading!,Image
寒い,さむい,cold (e.g. weather)​,Type the reading!,Image
再来年,さらいねん,year after next,Type the reading!,Image
塩,しお,salt; common salt; table salt; sodium chloride,Type the reading!,Image
時間,じかん,time;hour;period,Type the reading!,Image
仕事,しごと,work; job; labor; labour; business; task; assignment; occupation; employment,Type the reading!,Image
辞書,じしょ,dictionary; lexicon,Type the reading!,Image
静か,しずか,quiet; silent,Type the reading!,Image
下,した,below; down; under; younger,Type the reading!,Image
質問,しつもん,question; inquiry; enquiry,Type the reading!,Image
自転車,じてんしゃ,bicycle; bike,Type the reading!,Image
自動車,じどうしゃ,car; automobile; motorcar; motor vehicle; auto,Type the reading!,Image
死ね,しね,to die; to pass away,Type the reading!,Image
字引,じびき,dictionary,Type the reading!,Image
自分,じぶん,myself; yourself; oneself; himself; herself,Type the reading!,Image
閉まる,しまる,to be shut; to close; to be closed,Type the reading!,Image
閉める,しめる,to close; to shut,Type the reading!,Image
締める,しめる,to tie; to fasten; to tighten,Type the reading!,Image
写真,しゃしん,photograph; photo; picture; photography,Type the reading!,Image
授業,じゅぎょう,lesson; class; teaching; instruction; classwork; schoolwork,Type the reading!,Image
宿題,しゅくだい,homework; assignment,Type the reading!,Image
上手,じょうず,skillful; skilled; proficient; good (at); adept; clever,Type the reading!,Image
丈夫,じょうぶ,healthy; robust; strong; solid; durable​,Type the reading!,Image
醤油,しょうゆ,soy sauce; soya sauce; shoyu,Type the reading!,Image
食堂,しょくどう,dining room; dining hall; cafeteria; canteen,Type the reading!,Image
知る,しる,to know; to be aware (of); to be conscious (of); to learn (of); to find out; to discover,Type the reading!,Image
白,しろ,white,Type the reading!,Image
白い,しろい,white,Type the reading!,Image
新聞,しんぶん,newspaper,Type the reading!,Image
吸う,すう,to smoke; to breathe in; to inhale,Type the reading!,Image
好き,すき,liking; being fond of; to one's liking; to one's taste; preferred; favourite,Type the reading!,Image
少ない,すくない,few; little; small (amount); low; scarce; insufficient; seldom; rare,Type the reading!,Image
直ぐに,すぐに,(Usually written using kana alone) immediately; right away; at once; instantly​,Type the reading!,Image
少し,すこし,a little; a bit; a small amount; a few; some; slightly; somewhat,Type the reading!,Image
涼しい,すずしい,cool; refreshing,Type the reading!,Image
住む,すむ,to live (of humans); to reside; to inhabit; to dwell; to abide,Type the reading!,Image
座る,すわる,to sit; to squat,Type the reading!,Image
背,せ,back,Type the reading!,Image
生徒,せいと,pupil; student; schoolchild,Type the reading!,Image
背広,せびろ,business suit,Type the reading!,Image
狭い,せまい,narrow; confined; small; cramped,Type the reading!,Image
先月,せんげつ,last month,Type the reading!,Image
先週,せんしゅう,last week; the week before,Type the reading!,Image
洗濯,せんたく,washing; laundry,Type the reading!,Image
全部,ぜんぶ,all; entire; whole; altogether,Type the reading!,Image
外,そと,outside; exterior,Type the reading!,Image
空,そら,sky; the air; the heavens,Type the reading!,Image
大学,だいがく,university; college,Type the reading!,Image
大学生,だいがくせい,university student; college student,Type the reading!,Image
大使館,たいしかん,embassy,Type the reading!,Image
大丈夫,だいじょうぶ,safe; secure; sound; problem-free; without fear; all right; alright; OK; okay,Type the reading!,Image
大好き,だいすき,liking very much; loving (something or someone); adoring; being very fond of,Type the reading!,Image
大切,たいせつ,important; significant; serious; crucial; precious; valuable; dear; cherished; beloved,Type the reading!,Image
台所,だいどころ,kitchen,Type the reading!,Image
高い,たかい,high; tall,Type the reading!,Image
出す,だす,to take out; to get out; to put out; to reveal; to show,Type the reading!,Image
立つ,たつ,to stand (up); to rise; to get to one's feet; to stand on end (e.g. of hairs); to stick up,Type the reading!,Image
建物,たてもの,building,Type the reading!,Image
楽しい,たのしい,enjoyable; fun; pleasant; happy; delightful,Type the reading!,Image
頼む,たのむ,to request; to beg; to ask,Type the reading!,Image
煙草,タバコ,(Usually written using kana alone) tobacco; cigarette; cigar​,Type the reading!,Image
食べ物,たべもの,food,Type the reading!,Image
食べる,たべる,to eat,Type the reading!,Image
卵,たまご,eggs; egg; spawn; roe,Type the reading!,Image
誰,だれ,who,Type the reading!,Image
誕生日,たんじょうび,birthday,Type the reading!,Image
小さい,ちいさい,small; little; tiny,Type the reading!,Image
小さな,ちいさな,small; little; tiny​,Type the reading!,Image
近い,ちかい,near; close; short (distance)​,Type the reading!,Image
違う,ちがう,to differ (from); to be different; to be distinct; to be unlike; to vary; to disagree (with); to be wrong; to be incorrect; to be mistaken,Type the reading!,Image
近く,ちかく,near; neighbourhood; neighborhood; vicinity,Type the reading!,Image
地下鉄,ちかてつ,subway; metro; underground (railway)​,Type the reading!,Image
地図,ちず,map; atlas; chart; plan,Type the reading!,Image
茶色,ちゃいろ,brown; light brown; tawny,Type the reading!,Image
茶碗,ちゃわん,rice bowl; tea cup; teacup,Type the reading!,Image
使う,つかう,"to use (a tool, method, etc.); to make use of; to put to use",Type the reading!,Image
疲れる,つかれる,to get tired; to tire; to get fatigued; to become exhausted; to grow weary,Type the reading!,Image
次,つぎ,next; following; subsequent,Type the reading!,Image
着く,つく,to arrive at; to reach,Type the reading!,Image
机,つくえ,desk,Type the reading!,Image
作る,つくる,to make; to produce; to manufacture; to build; to construct​,Type the reading!,Image
勤める,つとめる,to work (for); to be employed (at); to serve (in)​,Type the reading!,Image
詰まらない,つまらない,dull; uninteresting; boring; tedious,Type the reading!,Image
冷たい,つめたい,cold (to the touch); chilly; icy; freezing,Type the reading!,Image
強い,つよい,strong; potent; competent; domineering; tough,Type the reading!,Image
手,て,hand; arm,Type the reading!,Image
出かける,でかける,to go out (e.g. on an excursion or outing); to leave; to depart; to start; to set out,Type the reading!,Image
手紙,てがみ,letter; note,Type the reading!,Image
出口,でぐち,exit; way out​,Type the reading!,Image
出る,でる,to leave; to exit; to go out; to come out; to get out,Type the reading!,Image
天気,てんき,weather,Type the reading!,Image
電気,でんき,electricity,Type the reading!,Image
電車,でんしゃ,train; electric train,Type the reading!,Image
電話,でんわ,telephone call; phone call,Type the reading!,Image
戸,と,door (esp. Japanese-style)​,Type the reading!,Image
動物,どうぶつ,animal,Type the reading!,Image
遠い,とおい,far; distant; far away; a long way off; in the distance,Type the reading!,Image
時々,ときどき,sometimes; occasionally; at times; from time to time; now and then; once in a while; at intervals,Type the reading!,Image
時計,とけい,clock; watch; timepiece,Type the reading!,Image
年,とし,year,Type the reading!,Image
図書館,としょかん,library,Type the reading!,Image
隣,となり,next (to); adjoining; adjacent,Type the reading!,Image
飛ぶ,とぶ,to fly; to soar,Type the reading!,Image
止まる,とまる,to stop (moving); to come to a stop,Type the reading!,Image
友達,ともだち,friend; companion,Type the reading!,Image
鳥,とり,bird,Type the reading!,Image
取る,とる,to take; to pick up; to grab; to catch; to hold,Type the reading!,Image
撮る,とる,to take (a photograph)​; to record (audio or video); to film; to shoot​,Type the reading!,Image
中,なか,"1. medium (size); average (grade, level, etc.); middle​; 2. in; within; out of (e.g. ten people); among; 3. during; while; in (the course of); within (a period); throughout",Type the reading!,Image
長い,ながい,"long (distance, length)",Type the reading!,Image
泣く,なく,to cry; to shed tears; to weep; to sob,Type the reading!,Image
無くす,なくす,(Usually written using kana alone) to lose (something),Type the reading!,Image
夏,なつ,summer,Type the reading!,Image
夏休み,なつやすみ,summer vacation; summer holiday,Type the reading!,Image
名前,なまえ,name,Type the reading!,Image
習う,ならう,to take lessons in; to be taught; to learn (from a teacher); to study (under a teacher); to get training in,Type the reading!,Image
並ぶ,ならぶ,to line up; to stand in a line,Type the reading!,Image
並べる,ならべる,to line up; to set up; to arrange in a line,Type the reading!,Image
賑やか,にぎやか,"1. bustling; busy; crowded; lively; prosperous; thriving; 2. lively (party, voices, etc.); loud; noisy; merry; cheerful",Type the reading!,Image
肉,にく,flesh,Type the reading!,Image
西,にし,west,Type the reading!,Image
荷物,にもつ,luggage; baggage; package,Type the reading!,Image
庭,にわ,garden; yard; courtyard,Type the reading!,Image
脱ぐ,ぬぐ,"to take off (clothes, shoes, etc.); to undress",Type the reading!,Image
温い,ぬるい,lukewarm; tepid​,Type the reading!,Image
猫,ねこ,cat,Type the reading!,Image
寝る,ねる,to sleep (lying down)​; to go to bed; to lie in bed,Type the reading!,Image
上る,のぼる,to ascend; to go up; to climb,Type the reading!,Image
飲み物,のみもの,drink; beverage,Type the reading!,Image
飲む,のむ,to drink; to swallow; to take (medicine)​,Type the reading!,Image
乗る,のる,"to get on (train, plane, bus, ship, etc.); to get in; to board; to take; to embark​",Type the reading!,Image
乗り物,のりもの,vehicle; conveyance; (means of) transport,Type the reading!,Image
歯,は,tooth; teeth,Type the reading!,Image
灰皿,はいざら,ashtray,Type the reading!,Image
入る,はいる,to enter; to come in; to go in; to get in; to arrive,Type the reading!,Image
葉書,はがき,(Usually written using kana) postcard,Type the reading!,Image
箱,はこ,box; case; chest; package; pack; crate,Type the reading!,Image
始まる,はじまる,to start; to begin; to commence; to initiate; to originate,Type the reading!,Image
初めて,はじめて,for the first time​,Type the reading!,Image
走る,はしる,to run,Type the reading!,Image
二十歳,はたち,20 years old,Type the reading!,Image
働く,はたらく,to work; to labor; to labour,Type the reading!,Image
花,はな,flower; blossom; bloom; petal,Type the reading!,Image
鼻,はな,nose,Type the reading!,Image
話,はなし,talk; speech; chat; conversation​,Type the reading!,Image
話す,はなす,to talk; to speak; to converse; to chat,Type the reading!,Image
早い,はやい,fast; quick; rapid; swift; speedy; brisk; prompt; early; soon; earlier than usual,Type the reading!,Image
春,はる,spring; springtime,Type the reading!,Image
張る,はる,to stick; to paste; to affix​,Type the reading!,Image
晴れ,はれ,clear weather; fine weather,Type the reading!,Image
晴れる,はれる,to clear up; to clear away; to be sunny; to stop raining,Type the reading!,Image
半,はん,half; semi-; partial; half-past,Type the reading!,Image
晩,ばん,evening; night,Type the reading!,Image
番号,ばんごう,number; series of digits,Type the reading!,Image
晩御飯,ばんごはん,dinner; evening meal,Type the reading!,Image
半分,はんぶん,half,Type the reading!,Image
東,ひがし,east,Type the reading!,Image
引く,ひく,"1. to pull; to tug; to lead (e.g. a horse); 2. to draw (attention, sympathy, etc.); to attract (e.g. interest)​; 3. to catch (a cold); 4. to play (a stringed or keyboard instrument)",Type the reading!,Image
弾く,ひく,to play (a stringed or keyboard instrument),Type the reading!,Image
低い,ひくい,"low (rank, degree, value, content, quality, etc.)​",Type the reading!,Image
飛行機,ひこうき,airplane; aeroplane; plane; aircraft,Type the reading!,Image
左,ひだり,left; left-hand side左,Type the reading!,Image
人,ひと,person; someone; somebody; human beings; mankind; man; people; humans; human (Homo sapiens),Type the reading!,Image
待つ,まつ,to wait,Type the reading!,Image
暇,ひま,spare time; free time; leisure,Type the reading!,Image
病院,びょういん,hospital; clinic; doctor's office; doctor's surgery; infirmary,Type the reading!,Image
病気,びょうき,"illness (usu. excluding minor ailments, e.g. common cold); disease; sickness",Type the reading!,Image
昼,ひる,noon; midday​; daytime,Type the reading!,Image
昼ご飯,ひるごはん,lunch; midday meal,Type the reading!,Image
広い,ひろい,spacious; vast; wide,Type the reading!,Image
封筒,ふうとう,clothes (esp. Western clothes); clothing; dress; costume; suit; outfit,Type the reading!,Image
服,ふく,clothes (esp. Western clothes); clothing; dress; costume; suit; outfit,Type the reading!,Image
吹く,ふく,to blow (of the wind),Type the reading!,Image
豚肉,ぶたにく,pork,Type the reading!,Image
太い,ふとい,fat; thick,Type the reading!,Image
冬,ふゆ,winter,Type the reading!,Image
降る,ふる,"to fall (of rain, snow, ash, etc.); to come down",Type the reading!,Image
古い,ふるい,old; aged; ancient; antiquated; antique; timeworn,Type the reading!,Image
文章,ぶんしょう,writing; composition; essay; article; passage; prose; (writing) style,Type the reading!,Image
下手,へた,unskillful; poor; awkward,Type the reading!,Image
部屋,へや,room; chamber,Type the reading!,Image
辺,へん,area; vicinity; region,Type the reading!,Image
便利,べんり,convenient; handy; useful​,Type the reading!,Image
帽子,ぼうし,hat; cap,Type the reading!,Image
欲しい,ほしい,wanting (to have); desiring; wishing for​,Type the reading!,Image
細い,ほそい,thin; slender; fine,Type the reading!,Image
本,ほん,book; volume; script,Type the reading!,Image
本棚,ほんだな,bookshelves; bookshelf; bookcase,Type the reading!,Image
毎朝,まいあさ,every day,Type the reading!,Image
毎晩,まいばん,every night,Type the reading!,Image
前,まえ,last (i.e. immediately preceding); previous; ex-; former; pre- (e.g. premodern); before; earlier,Type the reading!,Image
曲がる,まがる,to bend; to curve; to warp; to wind; to twist,Type the reading!,Image
町,まち,town; block; neighbourhood; neighborhood,Type the reading!,Image
真っ直ぐ,まっすぐ,(Usually written using kana alone) straight (ahead); direct; upright; erect​,Type the reading!,Image
窓,まど,window,Type the reading!,Image
万年筆,まんねんひつ,fountain pen,Type the reading!,Image
右,みぎ,right; right-hand side,Type the reading!,Image
短い,みじかい,short,Type the reading!,Image
水,みず,water (esp. cool or cold)​,Type the reading!,Image
店,みせ,store; shop; establishment; restaurant,Type the reading!,Image
見せる,みせる,to show; to display,Type the reading!,Image
見る,みる,to see; to look; to watch; to view; to observe,Type the reading!,Image
道,みち,road; path; street; lane; passage; route; way,Type the reading!,Image
緑,みどり,green,Type the reading!,Image
皆さん,みなさん,all; everyone; everybody​,Type the reading!,Image
南,みなみ,south,Type the reading!,Image
耳,みみ,ear,Type the reading!,Image
皆,みんな,everyone; everybody; all​,Type the reading!,Image
向こう,むこう,opposite side; other side,Type the reading!,Image
村,むら,vilage,Type the reading!,Image
目,め,eye; eyeball,Type the reading!,Image
眼鏡,めがね,glasses; eyeglasses; spectacles​,Type the reading!,Image
もう一度,もういちど,once more; again,Type the reading!,Image
持つ,もつ,to hold (in one's hand); to take; to carry,Type the reading!,Image
物,もの,one's things; possessions; property; belongings,Type the reading!,Image
門,もん,door (esp. Japanese-style),Type the reading!,Image
問題,もんだい,question (e.g. on a test); problem,Type the reading!,Image
